episode,seed,steps,total_clicks,total_wins,total_cost,clicks_1458,wins_1458,cost_1458,util_1458,lambda_1458,ent_thr_1458,ent_res_1458,clicks_2259,wins_2259,cost_2259,util_2259,lambda_2259,ent_thr_2259,ent_res_2259,clicks_3386,wins_3386,cost_3386,util_3386,lambda_3386,ent_thr_3386,ent_res_3386,clicks_2997,wins_2997,cost_2997,util_2997,lambda_2997,ent_thr_2997,ent_res_2997,clicks_3476,wins_3476,cost_3476,util_3476,lambda_3476,ent_thr_3476,ent_res_3476
39,0,125000,998,9760,247275.953125,194,2007,49546.84375,99.09369659423828,4.784636497497559,3.655947208404541,2.189789056777954,196,1793,49995.9609375,99.99195098876953,4.703146934509277,3.7551541328430176,2.2358603477478027,218,2145,49999.7421875,99.99952697753906,7.783154010772705,3.7001547813415527,2.1131529808044434,176,1840,48735.515625,97.4710464477539,1.601929783821106,3.791630268096924,2.3439278602600098,214,1975,48997.890625,97.99575805664062,28.484403610229492,3.504594087600708,1.6136624813079834
40,0,125000,909,9170,247757.73046875,155,1564,49978.8046875,99.9576416015625,2.712993621826172,3.5958333015441895,2.1772594451904297,159,1634,48540.98046875,97.08199310302734,6.983756065368652,3.7498724460601807,2.1798152923583984,196,2037,49255.6484375,98.51121520996094,50.00615692138672,3.6863908767700195,2.0708084106445312,186,1877,49991.953125,99.98392486572266,2.555438756942749,3.774066925048828,2.335355520248413,213,2058,49990.34375,99.980712890625,3.192232370376587,3.493964672088623,1.522047996520996
41,0,125000,843,9054,247474.58984375,165,1669,49680.1328125,99.36023712158203,87.97880554199219,3.4014739990234375,2.0570168495178223,183,2262,49987.80078125,99.97557067871094,4.809309959411621,3.691962480545044,2.0362000465393066,186,2191,49964.15625,99.92829132080078,3.503448009490967,3.5626187324523926,1.9521770477294922,167,1820,49466.82421875,98.93363952636719,70.0733642578125,3.7221245765686035,2.2954862117767334,142,1112,48375.67578125,96.75138854980469,3.6928551197052,3.3483831882476807,1.2695114612579346
42,0,125000,980,8979,248473.48046875,232,2123,49966.640625,99.93328094482422,99.85932922363281,3.329540252685547,2.0474772453308105,189,1529,48518.8515625,97.03768157958984,5.353145122528076,3.670022487640381,1.9273617267608643,220,2228,49993.7265625,99.98748779296875,4.679067611694336,3.4983878135681152,1.952256441116333,98,901,49999.28125,99.99859619140625,4.4007954597473145,3.7079825401306152,2.2916808128356934,241,2198,49994.98046875,99.989990234375,5.235840320587158,3.3162364959716797,1.2896199226379395
43,0,125000,655,7331,249459.73828125,130,1486,49814.8046875,99.62959289550781,95.79413604736328,3.210409641265869,1.9901459217071533,86,939,49991.5625,99.9830551147461,99.99059295654297,3.609166145324707,1.7705607414245605,169,1802,49991.8671875,99.98372650146484,99.99128723144531,3.342617988586426,1.9495333433151245,148,1540,49708.80859375,99.41761779785156,0.030582748353481293,3.6379990577697754,2.265408992767334,122,1564,49952.6953125,99.90544891357422,13.898600578308105,3.2153725624084473,1.2473506927490234
44,0,125000,921,9110,248084.203125,185,1816,49847.3359375,99.69461059570312,97.12015533447266,3.149522304534912,1.9444786310195923,196,1743,49984.49609375,99.968994140625,0.9690713882446289,3.5854320526123047,1.706209659576416,180,1938,49124.1171875,98.24822235107422,38.311405181884766,3.2668116092681885,2.047503709793091,171,1487,49140.1171875,98.28018188476562,4.427107334136963,3.630185842514038,2.2653791904449463,189,2126,49988.13671875,99.97631072998047,99.98187255859375,3.2241859436035156,1.3719379901885986
45,0,125000,817,8263,245888.3515625,152,1624,49989.98828125,99.98003387451172,5.842802047729492,2.650001287460327,1.6932822465896606,191,2240,49180.54296875,98.361083984375,43.17971420288086,3.37377667427063,1.4431426525115967,161,1624,49077.07421875,98.15418243408203,2.537874221801758,2.8265910148620605,1.799503207206726,167,1442,48636.80078125,97.27360534667969,9.792433738708496,3.438854694366455,2.201777458190918,146,1333,49003.9453125,98.0078353881836,20.819839477539062,2.9157938957214355,0.8360230922698975
46,0,125000,781,7694,249507.26953125,154,1342,49958.1328125,99.9162826538086,0.437681645154953,3.063814163208008,1.9662740230560303,160,1593,49984.71484375,99.96939849853516,2.7810416221618652,3.530440092086792,1.7139415740966797,185,1791,49567.1328125,99.13426971435547,79.1019058227539,3.246143341064453,1.981163501739502,160,1532,49998.27734375,99.99647521972656,4.598322868347168,3.595486640930176,2.177335739135742,122,1436,49999.01171875,99.99803161621094,5.621880054473877,3.2177700996398926,1.336987018585205
47,0,125000,909,9120,248052.72265625,186,1610,49987.37890625,99.97473907470703,9.7931547164917,2.7732255458831787,1.9240305423736572,180,2181,49986.74609375,99.9735336303711,5.807941436767578,3.4249653816223145,1.5904531478881836,188,2112,48803.96875,97.60786437988281,1.6444048881530762,3.16587233543396,1.9500902891159058,195,1895,49704.29296875,99.4085693359375,5.004288673400879,3.5441818237304688,2.055739164352417,160,1322,49570.3359375,99.14073181152344,79.37801361083984,3.0681848526000977,1.2749055624008179
48,0,125000,882,9330,245698.24609375,175,1522,48458.82421875,96.91753387451172,5.130224704742432,2.396876335144043,1.9052358865737915,166,1671,48754.1875,97.50830078125,1.8862452507019043,3.3437118530273438,1.5240733623504639,167,2179,49150.7109375,98.30142974853516,2.653045177459717,3.014500379562378,1.8979535102844238,172,1924,49337.50390625,98.67498016357422,37.10038375854492,3.4359025955200195,1.9151129722595215,202,2034,49997.01953125,99.99404907226562,2.3208119869232178,2.951779365539551,1.3286374807357788
